player_name,nba_team,college,draft_year,round,round_pick,overall_pick,player_name_clean,player_year_key,college_clean
Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44,Issuf Sanon,Issuf Sanon_2018,KK Olimpija (Slovenia)
Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45,Hamidou Diallo,Hamidou Diallo_2018,Kentucky
De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46,De'Anthony Melton,De'Anthony Melton_2018,Southern California
Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47,Svi Mykhailiuk,Svi Mykhailiuk_2018,Kansas
Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48,Keita Bates-Diop,Keita Bates-Diop_2018,Ohio St.
Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49,Chimezie Metu,Chimezie Metu_2018,Southern California
Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50,Alize Johnson,Alize Johnson_2018,Missouri St.
Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51,Tony Carr,Tony Carr_2018,Penn St.
Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52,Vincent Edwards,Vincent Edwards_2018,Purdue
Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53,Devon Hall,Devon Hall_2018,Virginia
Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54,Shake Milton,Shake Milton_2018,Southern Miss
Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55,Arnoldas Kulboka,Arnoldas Kulboka_2018,Brose Bamberg (Germany)
Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56,Ray Spalding,Ray Spalding_2018,Louisville
Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57,Kevin Hervey,Kevin Hervey_2018,UT Arlington
Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58,Thomas Welsh,Thomas Welsh_2018,California-Los Angeles
George King,Phoenix Suns,Colorado,2018,2,29,59,George King,George King_2018,Colorado
Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60,Kostas Antetokounmpo,Kostas Antetokounmpo_2018,Dayton
Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1,Markelle Fultz,Markelle Fultz_2017,Washington
Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2,Lonzo Ball,Lonzo Ball_2017,California-Los Angeles
Jayson Tatum,Boston Celtics,Duke,2017,1,3,3,Jayson Tatum,Jayson Tatum_2017,Duke
Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4,Josh Jackson,Josh Jackson_2017,Kansas
De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5,De'Aaron Fox,De'Aaron Fox_2017,Kentucky
Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6,Jonathan Isaac,Jonathan Isaac_2017,Florida St.
Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7,Lauri Markkanen,Lauri Markkanen_2017,Arizona
Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8,Frank Ntilikina,Frank Ntilikina_2017,SIG Strasbourg (France)
Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9,Dennis Smith Jr,Dennis Smith Jr_2017,North Carolina St.
Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10,Zach Collins,Zach Collins_2017,Gonzaga
Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11,Malik Monk,Malik Monk_2017,Kentucky
Luke Kennard,Detroit Pistons,Duke,2017,1,12,12,Luke Kennard,Luke Kennard_2017,Duke
Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13,Donovan Mitchell,Donovan Mitchell_2017,Louisville
Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14,Bam Adebayo,Bam Adebayo_2017,Kentucky
Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15,Justin Jackson,Justin Jackson_2017,North Carolina
Justin Patton,Chicago Bulls,Creighton,2017,1,16,16,Justin Patton,Justin Patton_2017,Creighton
D.J. Wilson,Milwaukee Bucks,Michigan,2017,1,17,17,Dj Wilson,Dj Wilson_2017,Michigan
T.J. Leaf,Indiana Pacers,California-Los Angeles,2017,1,18,18,Tj Leaf,Tj Leaf_2017,California-Los Angeles
John Collins,Atlanta Hawks,Wake Forest,2017,1,19,19,John Collins,John Collins_2017,Wake Forest
Harry Giles III,Portland Trail Blazers,Duke,2017,1,20,20,Harry Giles Iii,Harry Giles Iii_2017,Duke
Terrance Ferguson,Oklahoma City Thunder,Adelaide 36ers (Australia),2017,1,21,21,Terrance Ferguson,Terrance Ferguson_2017,Adelaide 36ers (Australia)
Jarrett Allen,Brooklyn Nets,Texas,2017,1,22,22,Jarrett Allen,Jarrett Allen_2017,Texas
OG Anunoby,Toronto Raptors,Indiana,2017,1,23,23,Og Anunoby,Og Anunoby_2017,Indiana
Tyler Lydon,Utah Jazz,Syracuse,2017,1,24,24,Tyler Lydon,Tyler Lydon_2017,Syracuse
Anzejs Pasecniks,Orlando Magic,CB Gran Canaria (Spain),2017,1,25,25,Anzejs Pasecniks,Anzejs Pasecniks_2017,CB Gran Canaria (Spain)
Caleb Swanigan,Portland Trail Blazers,Purdue,2017,1,26,26,Caleb Swanigan,Caleb Swanigan_2017,Purdue
Kyle Kuzma,Brooklyn Nets,Utah,2017,1,27,27,Kyle Kuzma,Kyle Kuzma_2017,Utah
Tony Bradley,Los Angeles Lakers,North Carolina,2017,1,28,28,Tony Bradley,Tony Bradley_2017,North Carolina
Derrick White,San Antonio Spurs,Colorado,2017,1,29,29,Derrick White,Derrick White_2017,Colorado
Josh Hart,Utah Jazz,Villanova,2017,1,30,30,Josh Hart,Josh Hart_2017,Villanova
Frank Jackson,Charlotte Hornets,Duke,2017,2,1,31,Frank Jackson,Frank Jackson_2017,Duke
Davon Reed,Phoenix Suns,Miami (FL),2017,2,2,32,Davon Reed,Davon Reed_2017,Miami FL
Wes Iwundu,Orlando Magic,Kansas State,2017,2,3,33,Wes Iwundu,Wes Iwundu_2017,Kansas St.
Frank Mason III,Sacramento Kings,Kansas,2017,2,4,34,Frank Mason Iii,Frank Mason Iii_2017,Kansas
Ivan Rabb,Orlando Magic,California,2017,2,5,35,Ivan Rabb,Ivan Rabb_2017,California
Jonah Bolden,Philadelphia 76ers,Red Star Belgrade (Serbia),2017,2,6,36,Jonah Bolden,Jonah Bolden_2017,Red Star Belgrade (Serbia)
Semi Ojeleye,Boston Celtics,Southern Methodist,2017,2,7,37,Semi Ojeleye,Semi Ojeleye_2017,Southern Miss
Jordan Bell,Chicago Bulls,Oregon,2017,2,8,38,Jordan Bell,Jordan Bell_2017,Oregon
Jawun Evans,Philadelphia 76ers,Oklahoma State,2017,2,9,39,Jawun Evans,Jawun Evans_2017,Oklahoma St.
Dwayne Bacon,New Orleans Pelicans,Florida State,2017,2,10,40,Dwayne Bacon,Dwayne Bacon_2017,Florida St.
Tyler Dorsey,Atlanta Hawks,Oregon,2017,2,11,41,Tyler Dorsey,Tyler Dorsey_2017,Oregon
Thomas Bryant,Utah Jazz,Indiana,2017,2,12,42,Thomas Bryant,Thomas Bryant_2017,Indiana
Isaiah Hartenstein,Houston Rockets,BC Zalgiris (Lithuania),2017,2,13,43,Isaiah Hartenstein,Isaiah Hartenstein_2017,BC Zalgiris (Lithuania)
Damyean Dotson,New York Knicks,Houston,2017,2,14,44,Damyean Dotson,Damyean Dotson_2017,Houston
Dillon Brooks,Houston Rockets,Oregon,2017,2,15,45,Dillon Brooks,Dillon Brooks_2017,Oregon
Sterling Brown,Philadelphia 76ers,Southern Methodist,2017,2,16,46,Sterling Brown,Sterling Brown_2017,Southern Miss
Ike Anigbogu,Indiana Pacers,California-Los Angeles,2017,2,17,47,Ike Anigbogu,Ike Anigbogu_2017,California-Los Angeles
Sindarius Thornwell,Milwaukee Bucks,South Carolina,2017,2,18,48,Sindarius Thornwell,Sindarius Thornwell_2017,South Carolina
Vlatko Cancar,Denver Nuggets,KK Mega Leks (Serbia),2017,2,19,49,Vlatko Cancar,Vlatko Cancar_2017,KK Mega Leks (Serbia)
Mathias Lessort,Philadelphia 76ers,Nanterre 92 (France),2017,2,20,50,Mathias Lessort,Mathias Lessort_2017,Nanterre 92 (France)
Monte Morris,Denver Nuggets,Iowa State,2017,2,21,51,Monte Morris,Monte Morris_2017,Iowa St.
Edmond Sumner,New Orleans Pelicans,Xavier,2017,2,22,52,Edmond Sumner,Edmond Sumner_2017,Xavier
Kadeem Allen,Boston Celtics,Arizona,2017,2,23,53,Kadeem Allen,Kadeem Allen_2017,Arizona
Alec Peters,Phoenix Suns,Valparaiso,2017,2,24,54,Alec Peters,Alec Peters_2017,Valparaiso
Nigel Williams-Goss,Utah Jazz,Gonzaga,2017,2,25,55,Nigel Williams-Goss,Nigel Williams-Goss_2017,Gonzaga
Jabari Bird,Boston Celtics,California,2017,2,26,56,Jabari Bird,Jabari Bird_2017,California
Aleksandar Vezenkov,Brooklyn Nets,FC Barcelona Basquet (Spain),2017,2,27,57,Aleksandar Vezenkov,Aleksandar Vezenkov_2017,FC Barcelona Basquet (Spain)
Ognjen Jaramaz,New York Knicks,KK Mega Leks (Serbia),2017,2,28,58,Ognjen Jaramaz,Ognjen Jaramaz_2017,KK Mega Leks (Serbia)
Jaron Blossomgame,San Antonio Spurs,Clemson,2017,2,29,59,Jaron Blossomgame,Jaron Blossomgame_2017,Clemson
Alpha Kaba,Atlanta Hawks,KK Mega Leks (Serbia),2017,2,30,60,Alpha Kaba,Alpha Kaba_2017,KK Mega Leks (Serbia)
Ben Simmons,Philadelphia 76ers,Louisiana State,2016,1,1,1,Ben Simmons,Ben Simmons_2016,Louisiana Tech
Brandon Ingram,Los Angeles Lakers,Duke,2016,1,2,2,Brandon Ingram,Brandon Ingram_2016,Duke
Jaylen Brown,Boston Celtics,California,2016,1,3,3,Jaylen Brown,Jaylen Brown_2016,California
Dragan Bender,Phoenix Suns,Maccabi Tel Aviv B.C. (Israel),2016,1,4,4,Dragan Bender,Dragan Bender_2016,Maccabi Tel Aviv B.C. (Israel)
Kris Dunn,Minnesota Timberwolves,Providence,2016,1,5,5,Kris Dunn,Kris Dunn_2016,Providence
Buddy Hield,New Orleans Pelicans,Oklahoma,2016,1,6,6,Buddy Hield,Buddy Hield_2016,Oklahoma
Jamal Murray,Denver Nuggets,Kentucky,2016,1,7,7,Jamal Murray,Jamal Murray_2016,Kentucky
Marquese Chriss,Phoenix Suns,Washington,2016,1,8,8,Marquese Chriss,Marquese Chriss_2016,Washington
Jakob Poeltl,Toronto Raptors,Utah,2016,1,9,9,Jakob Poeltl,Jakob Poeltl_2016,Utah
Thon Maker,Milwaukee Bucks,,2016,1,10,10,Thon Maker,Thon Maker_2016,
Domantas Sabonis,Oklahoma City Thunder,Gonzaga,2016,1,11,11,Domantas Sabonis,Domantas Sabonis_2016,Gonzaga
Taurean Prince,Utah Jazz,Baylor,2016,1,12,12,Taurean Prince,Taurean Prince_2016,Baylor
Georgios Papagiannis,Sacramento Kings,Panathinaikos B.C. (Greece),2016,1,13,13,Georgios Papagiannis,Georgios Papagiannis_2016,Panathinaikos B.C. (Greece)
Denzel Valentine,Chicago Bulls,Michigan State,2016,1,14,14,Denzel Valentine,Denzel Valentine_2016,Michigan St.
Juancho Hernangomez,Denver Nuggets,Movistar Estudiantes,2016,1,15,15,Juancho Hernangomez,Juancho Hernangomez_2016,Movistar Estudiantes
Guerschon Yabusele,Boston Celtics,SPO Rouen Basket,2016,1,16,16,Guerschon Yabusele,Guerschon Yabusele_2016,SPO Rouen Basket
Wade Baldwin IV,Memphis Grizzlies,Vanderbilt,2016,1,17,17,Wade Baldwin Iv,Wade Baldwin Iv_2016,Vanderbilt
Henry Ellenson,Detroit Pistons,Marquette,2016,1,18,18,Henry Ellenson,Henry Ellenson_2016,Marquette
Malik Beasley,Denver Nuggets,Florida State,2016,1,19,19,Malik Beasley,Malik Beasley_2016,Florida St.
Caris LeVert,Indiana Pacers,Michigan,2016,1,20,20,Caris Levert,Caris Levert_2016,Michigan
DeAndre' Bembry,Atlanta Hawks,Saint Joseph's,2016,1,21,21,Deandre' Bembry,Deandre' Bembry_2016,Saint Joseph's
Malachi Richardson,Charlotte Hornets,Syracuse,2016,1,22,22,Malachi Richardson,Malachi Richardson_2016,Syracuse
Ante Zizic,Boston Celtics,KK Cibona (Croatia),2016,1,23,23,Ante Zizic,Ante Zizic_2016,KK Cibona (Croatia)
Timothe Luwawu-Cabarrot,Philadelphia 76ers,KK Mega Vizura,2016,1,24,24,Timothe Luwawu-Cabarrot,Timothe Luwawu-Cabarrot_2016,KK Mega Vizura
Brice Johnson,LA Clippers,North Carolina,2016,1,25,25,Brice Johnson,Brice Johnson_2016,North Carolina
Furkan Korkmaz,Philadelphia 76ers,Anadolu Efes S.K. (Turkey),2016,1,26,26,Furkan Korkmaz,Furkan Korkmaz_2016,Anadolu Efes S.K. (Turkey)
Pascal Siakam,Toronto Raptors,New Mexico State,2016,1,27,27,Pascal Siakam,Pascal Siakam_2016,New Mexico St.
Skal Labissiere,Sacramento Kings,Kentucky,2016,1,28,28,Skal Labissiere,Skal Labissiere_2016,Kentucky
Dejounte Murray,San Antonio Spurs,Washington,2016,1,29,29,Dejounte Murray,Dejounte Murray_2016,Washington
Damian Jones,Golden State Warriors,Vanderbilt,2016,1,30,30,Damian Jones,Damian Jones_2016,Vanderbilt
Deyonta Davis,Boston Celtics,Michigan State,2016,2,1,31,Deyonta Davis,Deyonta Davis_2016,Michigan St.
Ivica Zubac,Los Angeles Lakers,KK Mega Vizura,2016,2,2,32,Ivica Zubac,Ivica Zubac_2016,KK Mega Vizura
Cheick Diallo,LA Clippers,Kansas,2016,2,3,33,Cheick Diallo,Cheick Diallo_2016,Kansas
Tyler Ulis,Phoenix Suns,Kentucky,2016,2,4,34,Tyler Ulis,Tyler Ulis_2016,Kentucky
Rade Zagorac,Boston Celtics,KK Mega Vizura,2016,2,5,35,Rade Zagorac,Rade Zagorac_2016,KK Mega Vizura
Malcolm Brogdon,Milwaukee Bucks,Virginia,2016,2,6,36,Malcolm Brogdon,Malcolm Brogdon_2016,Virginia
Chinanu Onuaku,Houston Rockets,Louisville,2016,2,7,37,Chinanu Onuaku,Chinanu Onuaku_2016,Louisville
Patrick McCaw,Golden State Warriors,Nevada-Las Vegas,2016,2,8,38,Patrick McCaw,Patrick McCaw_2016,Nevada-Las Vegas
David Michineau,New Orleans Pelicans,Elan Chalon (France),2016,2,9,39,David Michineau,David Michineau_2016,Elan Chalon (France)
Diamond Stone,New Orleans Pelicans,Maryland,2016,2,10,40,Diamond Stone,Diamond Stone_2016,Maryland
Stephen Zimmerman,Orlando Magic,Nevada-Las Vegas,2016,2,11,41,Stephen Zimmerman,Stephen Zimmerman_2016,Nevada-Las Vegas
Isaiah Whitehead,Brooklyn Nets,Seton Hall,2016,2,12,42,Isaiah Whitehead,Isaiah Whitehead_2016,Seton Hall
Zhou Qi,Houston Rockets,Xinjiang Guanghui,2016,2,13,43,Zhou Qi,Zhou Qi_2016,Xinjiang Guanghui
Isaia Cordinier,Atlanta Hawks,Denain ASC Voltaire,2016,2,14,44,Isaia Cordinier,Isaia Cordinier_2016,Denain ASC Voltaire
Demetrius Jackson,Boston Celtics,Notre Dame,2016,2,15,45,Demetrius Jackson,Demetrius Jackson_2016,Notre Dame
AJ Hammons,Dallas Mavericks,Purdue,2016,2,16,46,Aj Hammons,Aj Hammons_2016,Purdue
Jake Layman,Orlando Magic,Maryland,2016,2,17,47,Jake Layman,Jake Layman_2016,Maryland
Paul Zipser,Chicago Bulls,FC Bayern Muenchen,2016,2,18,48,Paul Zipser,Paul Zipser_2016,FC Bayern Muenchen
Michael Gbinije,Detroit Pistons,Syracuse,2016,2,19,49,Michael Gbinije,Michael Gbinije_2016,Syracuse
Georges Niang,Indiana Pacers,Iowa State,2016,2,20,50,Georges Niang,Georges Niang_2016,Iowa St.
Ben Bentil,Boston Celtics,Providence,2016,2,21,51,Ben Bentil,Ben Bentil_2016,Providence
Joel Bolomboy,Utah Jazz,Weber State,2016,2,22,52,Joel Bolomboy,Joel Bolomboy_2016,Weber St.
Petr Cornelie,Denver Nuggets,Le Mans Sarthe Basket (France),2016,2,23,53,Petr Cornelie,Petr Cornelie_2016,Le Mans Sarthe Basket (France)
Kay Felder,Atlanta Hawks,Oakland,2016,2,24,54,Kay Felder,Kay Felder_2016,Oakland
Marcus Paige,Utah Jazz,North Carolina,2016,2,25,55,Marcus Paige,Marcus Paige_2016,North Carolina
Daniel Hamilton,Denver Nuggets,Connecticut,2016,2,26,56,Daniel Hamilton,Daniel Hamilton_2016,Connecticut
Wang Zhelin,Memphis Grizzlies,Fujian,2016,2,27,57,Wang Zhelin,Wang Zhelin_2016,Fujian
Abdel Nader,Boston Celtics,Iowa State,2016,2,28,58,Abdel Nader,Abdel Nader_2016,Iowa St.
Isaiah Cousins,Sacramento Kings,Oklahoma,2016,2,29,59,Isaiah Cousins,Isaiah Cousins_2016,Oklahoma
Tyrone Wallace,Utah Jazz,California,2016,2,30,60,Tyrone Wallace,Tyrone Wallace_2016,California
Karl-Anthony Towns,Minnesota Timberwolves,Kentucky,2015,1,1,1,Karl-Anthony Towns,Karl-Anthony Towns_2015,Kentucky
D'Angelo Russell,Los Angeles Lakers,Ohio State,2015,1,2,2,D'Angelo Russell,D'Angelo Russell_2015,Ohio St.
Jahlil Okafor,Philadelphia 76ers,Duke,2015,1,3,3,Jahlil Okafor,Jahlil Okafor_2015,Duke
Kristaps Porzingis,New York Knicks,CB Sevilla (Spain),2015,1,4,4,Kristaps Porzingis,Kristaps Porzingis_2015,CB Sevilla (Spain)
Mario Hezonja,Orlando Magic,FC Barcelona Basquet (Spain),2015,1,5,5,Mario Hezonja,Mario Hezonja_2015,FC Barcelona Basquet (Spain)
Willie Cauley-Stein,Sacramento Kings,Kentucky,2015,1,6,6,Willie Cauley-Stein,Willie Cauley-Stein_2015,Kentucky
Emmanuel Mudiay,Denver Nuggets,Guangdong Southern Tigers (China),2015,1,7,7,Emmanuel Mudiay,Emmanuel Mudiay_2015,Guangdong Southern Tigers (China)
Stanley Johnson,Detroit Pistons,Arizona,2015,1,8,8,Stanley Johnson,Stanley Johnson_2015,Arizona
Frank Kaminsky,Charlotte Hornets,Wisconsin,2015,1,9,9,Frank Kaminsky,Frank Kaminsky_2015,Wisconsin
Justise Winslow,Miami Heat,Duke,2015,1,10,10,Justise Winslow,Justise Winslow_2015,Duke
Myles Turner,Indiana Pacers,Texas,2015,1,11,11,Myles Turner,Myles Turner_2015,Texas
Trey Lyles,Utah Jazz,Kentucky,2015,1,12,12,Trey Lyles,Trey Lyles_2015,Kentucky
Devin Booker,Phoenix Suns,Kentucky,2015,1,13,13,Devin Booker,Devin Booker_2015,Kentucky
Cameron Payne,Oklahoma City Thunder,Murray State,2015,1,14,14,Cameron Payne,Cameron Payne_2015,Murray St.
Kelly Oubre Jr.,Atlanta Hawks,Kansas,2015,1,15,15,Kelly Oubre Jr,Kelly Oubre Jr_2015,Kansas
Terry Rozier,Boston Celtics,Louisville,2015,1,16,16,Terry Rozier,Terry Rozier_2015,Louisville
Rashad Vaughn,Milwaukee Bucks,Nevada-Las Vegas,2015,1,17,17,Rashad Vaughn,Rashad Vaughn_2015,Nevada-Las Vegas
Sam Dekker,Houston Rockets,Wisconsin,2015,1,18,18,Sam Dekker,Sam Dekker_2015,Wisconsin
Jerian Grant,Washington Wizards,Notre Dame,2015,1,19,19,Jerian Grant,Jerian Grant_2015,Notre Dame
Delon Wright,Toronto Raptors,Utah,2015,1,20,20,Delon Wright,Delon Wright_2015,Utah
Justin Anderson,Dallas Mavericks,Virginia,2015,1,21,21,Justin Anderson,Justin Anderson_2015,Virginia
Bobby Portis,Chicago Bulls,Arkansas,2015,1,22,22,Bobby Portis,Bobby Portis_2015,Arkansas
Rondae Hollis-Jefferson,Portland Trail Blazers,Arizona,2015,1,23,23,Rondae Hollis-Jefferson,Rondae Hollis-Jefferson_2015,Arizona
Tyus Jones,Cleveland Cavaliers,Duke,2015,1,24,24,Tyus Jones,Tyus Jones_2015,Duke
Jarell Martin,Memphis Grizzlies,Louisiana State,2015,1,25,25,Jarell Martin,Jarell Martin_2015,Louisiana Tech
Nikola Milutinov,San Antonio Spurs,KK Partizan (Serbia),2015,1,26,26,Nikola Milutinov,Nikola Milutinov_2015,KK Partizan (Serbia)
Larry Nance Jr.,Los Angeles Lakers,Wyoming,2015,1,27,27,Larry Nance Jr,Larry Nance Jr_2015,Wyoming
RJ Hunter,Boston Celtics,Georgia State,2015,1,28,28,Rj Hunter,Rj Hunter_2015,Georgia St.
Chris McCullough,Brooklyn Nets,Syracuse,2015,1,29,29,Chris McCullough,Chris McCullough_2015,Syracuse
Kevon Looney,Golden State Warriors,California-Los Angeles,2015,1,30,30,Kevon Looney,Kevon Looney_2015,California-Los Angeles
Cedi Osman,Minnesota Timberwolves,Anadolu Efes S.K. (Turkey),2015,2,1,31,Cedi Osman,Cedi Osman_2015,Anadolu Efes S.K. (Turkey)
Montrezl Harrell,Houston Rockets,Louisville,2015,2,2,32,Montrezl Harrell,Montrezl Harrell_2015,Louisville
Jordan Mickey,Boston Celtics,Louisiana State,2015,2,3,33,Jordan Mickey,Jordan Mickey_2015,Louisiana Tech
Anthony Brown,Los Angeles Lakers,Stanford,2015,2,4,34,Anthony Brown,Anthony Brown_2015,Stanford
Willy Hernangomez,Philadelphia 76ers,CB Sevilla (Spain),2015,2,5,35,Willy Hernangomez,Willy Hernangomez_2015,CB Sevilla (Spain)
Rakeem Christmas,Minnesota Timberwolves,Syracuse,2015,2,6,36,Rakeem Christmas,Rakeem Christmas_2015,Syracuse
Richaun Holmes,Philadelphia 76ers,Bowling Green,2015,2,7,37,Richaun Holmes,Richaun Holmes_2015,Bowling Green
Darrun Hilliard,Detroit Pistons,Villanova,2015,2,8,38,Darrun Hilliard,Darrun Hilliard_2015,Villanova
Juan Pablo Vaulet,Charlotte Hornets,Bahia Basket (Argentina),2015,2,9,39,Juan Pablo Vaulet,Juan Pablo Vaulet_2015,Bahia Basket (Argentina)
Josh Richardson,Miami Heat,Tennessee,2015,2,10,40,Josh Richardson,Josh Richardson_2015,Tennessee
Pat Connaughton,Brooklyn Nets,Notre Dame,2015,2,11,41,Pat Connaughton,Pat Connaughton_2015,Notre Dame
Olivier Hanlan,Utah Jazz,Boston College,2015,2,12,42,Olivier Hanlan,Olivier Hanlan_2015,Boston College
Joe Young,Indiana Pacers,Oregon,2015,2,13,43,Joe Young,Joe Young_2015,Oregon
Andrew Harrison,Phoenix Suns,Kentucky,2015,2,14,44,Andrew Harrison,Andrew Harrison_2015,Kentucky
Marcus Thornton,Boston Celtics,William & Mary,2015,2,15,45,Marcus Thornton,Marcus Thornton_2015,William & Mary
Norman Powell,Milwaukee Bucks,California-Los Angeles,2015,2,16,46,Norman Powell,Norman Powell_2015,California-Los Angeles
Arturas Gudaitis,Philadelphia 76ers,BC Zalgiris (Lithuania),2015,2,17,47,Arturas Gudaitis,Arturas Gudaitis_2015,BC Zalgiris (Lithuania)
Dakari Johnson,Oklahoma City Thunder,Kentucky,2015,2,18,48,Dakari Johnson,Dakari Johnson_2015,Kentucky
Aaron White,Washington Wizards,Iowa,2015,2,19,49,Aaron White,Aaron White_2015,Iowa
Marcus Eriksson,Atlanta Hawks,FC Barcelona Basquet (Spain),2015,2,20,50,Marcus Eriksson,Marcus Eriksson_2015,FC Barcelona Basquet (Spain)
Tyler Harvey,Orlando Magic,Eastern Washington,2015,2,21,51,Tyler Harvey,Tyler Harvey_2015,Eastern Washington
Satnam Singh,Dallas Mavericks,IMG Academy,2015,2,22,52,Satnam Singh,Satnam Singh_2015,IMG Academy
Sir'Dominic Pointer,Cleveland Cavaliers,St. John's (NY),2015,2,23,53,Sir'Dominic Pointer,Sir'Dominic Pointer_2015,St. John's
Daniel Diez,Utah Jazz,San Sebastian Gipuzkoa BC (Spain),2015,2,24,54,Daniel Diez,Daniel Diez_2015,San Sebastian Gipuzkoa BC (Spain)
Cady Lalanne,San Antonio Spurs,Massachusetts,2015,2,25,55,Cady Lalanne,Cady Lalanne_2015,Massachusetts
Branden Dawson,New Orleans Pelicans,Michigan State,2015,2,26,56,Branden Dawson,Branden Dawson_2015,Michigan St.
Nikola Radicevic,Denver Nuggets,CB Sevilla (Spain),2015,2,27,57,Nikola Radicevic,Nikola Radicevic_2015,CB Sevilla (Spain)
JP Tokoto,Philadelphia 76ers,North Carolina,2015,2,28,58,Jp Tokoto,Jp Tokoto_2015,North Carolina
Dimitrios Agravanis,Atlanta Hawks,Olympiacos B.C. (Greece),2015,2,29,59,Dimitrios Agravanis,Dimitrios Agravanis_2015,Olympiacos B.C. (Greece)
Luka Mitrovic,Philadelphia 76ers,Red Star Belgrade (Serbia),2015,2,30,60,Luka Mitrovic,Luka Mitrovic_2015,Red Star Belgrade (Serbia)
Andrew Wiggins,Cleveland Cavaliers,Kansas,2014,1,1,1,Andrew Wiggins,Andrew Wiggins_2014,Kansas
Jabari Parker,Milwaukee Bucks,Duke,2014,1,2,2,Jabari Parker,Jabari Parker_2014,Duke
Joel Embiid,Philadelphia 76ers,Kansas,2014,1,3,3,Joel Embiid,Joel Embiid_2014,Kansas
Aaron Gordon,Orlando Magic,Arizona,2014,1,4,4,Aaron Gordon,Aaron Gordon_2014,Arizona
Dante Exum,Utah Jazz,Australian Institute of Sport (Australia),2014,1,5,5,Dante Exum,Dante Exum_2014,Australian Institute of Sport (Australia)
Marcus Smart,Boston Celtics,Oklahoma State,2014,1,6,6,Marcus Smart,Marcus Smart_2014,Oklahoma St.
Julius Randle,Los Angeles Lakers,Kentucky,2014,1,7,7,Julius Randle,Julius Randle_2014,Kentucky
Nik Stauskas,Sacramento Kings,Michigan,2014,1,8,8,Nik Stauskas,Nik Stauskas_2014,Michigan
Noah Vonleh,Charlotte Hornets,Indiana,2014,1,9,9,Noah Vonleh,Noah Vonleh_2014,Indiana
Elfrid Payton,Philadelphia 76ers,Louisiana-Lafayette,2014,1,10,10,Elfrid Payton,Elfrid Payton_2014,Louisiana Lafayette
Doug McDermott,Denver Nuggets,Creighton,2014,1,11,11,Doug McDermott,Doug McDermott_2014,Creighton
Dario Saric,Orlando Magic,KK Cibona (Croatia),2014,1,12,12,Dario Saric,Dario Saric_2014,KK Cibona (Croatia)
Zach LaVine,Minnesota Timberwolves,California-Los Angeles,2014,1,13,13,Zach Lavine,Zach Lavine_2014,California-Los Angeles
T.J. Warren,Phoenix Suns,North Carolina State,2014,1,14,14,Tj Warren,Tj Warren_2014,North Carolina St.
Adreian Payne,Atlanta Hawks,Michigan State,2014,1,15,15,Adreian Payne,Adreian Payne_2014,Michigan St.
Jusuf Nurkic,Chicago Bulls,KK Cedevita (Croatia),2014,1,16,16,Jusuf Nurkic,Jusuf Nurkic_2014,KK Cedevita (Croatia)
James Young,Boston Celtics,Kentucky,2014,1,17,17,James Young,James Young_2014,Kentucky
Tyler Ennis,Phoenix Suns,Syracuse,2014,1,18,18,Tyler Ennis,Tyler Ennis_2014,Syracuse
Gary Harris,Chicago Bulls,Michigan State,2014,1,19,19,Gary Harris,Gary Harris_2014,Michigan St.
Bruno Caboclo,Toronto Raptors,Esporte Clube Pinheiros (Brazil),2014,1,20,20,Bruno Caboclo,Bruno Caboclo_2014,Esporte Clube Pinheiros (Brazil)
Mitch McGary,Oklahoma City Thunder,Michigan,2014,1,21,21,Mitch McGary,Mitch McGary_2014,Michigan
Jordan Adams,Memphis Grizzlies,California-Los Angeles,2014,1,22,22,Jordan Adams,Jordan Adams_2014,California-Los Angeles
